TranslatedRecipeName,TranslatedIngredients,TotalTimeInMins,Cuisine,TranslatedInstructions,URL,Cleaned-Ingredients,image-url,Ingredient-count
Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry,"8 cloves Garlic,1/2 teaspoon Mustard seeds,2 teaspoons Sunflower Oil,Salt - to taste,8 Curry leaves,10 Whole Black Peppercorns,1 cup Tamarind Water,1 Onion - chopped,1/2 cup Fresh coconut,1 teaspoon Sunflower Oil,Coriander (Dhania) Leaves - small bunch,1/2 teaspoon Red Chilli powder,2 Dry Red Chillies,1/4 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi),2 teaspoons Sambar Powder,1 teaspoon Coriander (Dhania) Seeds,1 Tomato - chopped,1/2 teaspoon Cumin seeds (Jeera),1 cup Jackfruit Seeds (Kathal)",25,Tamil Nadu,"To begin making Palakottai Kuzhambu Recipe  wash the jackfruits seeds thoroughly, make a slit on the outer layer and remove the outer white layer.
In a pressure cooker, add the Jackfruit seeds, add enough water to submerge the seeds,add a pinch of salt, and pressure cook it on a high heat for 3-4 whistles or till they are cooked al-dente.
Allow the pressure to release naturally.
 Drain and reserve the jackfruit seed stock for later use.Heat a kadai on medium flame, add oil once the oil is hot, add onions  and saute until almost translucent, for about 2-3 minutes.
Now add chopped tomatoes , cover and cook until the tomatoes are mushy.
Transfer the sauteed onion-tomatoes  and allow them to cool.Transfer the onion-tomato mixture into a mixer-jar, add coriander seeds and grind well along with some of the jackfruit stock.
We need a smooth paste.
Transfer to a bowl and set aside.
Yet again, in a mixer grinder, combine fresh grated coconut, red chillies and black pepper along with a little jackfruit seeds stock, and grind to a smooth paste.
Keep aside.
Heat a pan with oil, on medium heat, add mustard seeds and cumin seeds and curry leaves.
Once they splutter and sizzle, add in asafoetida and the crushed garlic cloves and saute till the garlic turn golden.Once garlic turns to golden, add the ground onion tomato paste and saute well until it starts boiling.Add the tamarind water to it and stir.
Boil for 2-3 minutes and cooked palakottai/jackfruit seeds.
Mix well.Add required salt, turmeric powder, chilli powder, sambar powder.
Mix well and cook for 5 minutes in medium heat, such that the flavours seep into the jackfruit seeds.Now add the ground coconut mixture  and stir well.
Cook on a low heat until it thickens.
Taste and adjust seasoning and consistency of the Palakottai Kuzhambu to your liking.
 Turn off the flame.
Garnish with coriander leaves.
Serve Palakottai Kuzhambu Recipe along with Raw Jackfruit Poriyal Recipe, Steamed Rice Recipe and Thayir Semiya Recipe for a hearty weekday lunch.
",https://www.archanaskitchen.com/palakottai-kuzhambu-recipe-kongunad-style-jackfruit-seeds-curry,"tomato,coriander (dhania),jackfruit seeds (kathal),salt,tamarind water,mustard seeds,asafoetida (hing),coconut,red chilli powder,cloves garlic,black peppercorns,curry leaves,dry red chillies,onion,cumin seeds (jeera),coriander (dhania) seeds,turmeric powder,sambar powder,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/Palakottai_kuzhambu_jackfruit_seeds_curry_recipe.jpg,19
Baingan Bharta Recipe - Brinjal Bharta Recipe," 1 tomato - chopped,1 eggplant, 1 onion - finely chopped, 2 green chillies - finely chopped, 1 tablespoon oil, 1 teaspoon turmeric powder, salt - as per taste, 2 inch ginger - peel and tighten, 2 sprigs of coriander - finely chopped (for garnish), 1 teaspoon red chili powder, 1 teaspoon garam masala powder, 1 teaspoon coriander powder , 1 tablespoon butter",60,Punjabi,"To start the Brinjal Bharta, first turn on the gas.
Place the brinjals on the heat and roast them all the way around.
After 10 minutes you will see that the brinjal skin has started coming out.
Bake the eggplants and keep them aside till they become soft.
After cooling, take out the skin of the brinjals and mash them with the help of a fork.
Keep it aside.
Now heat a pan.
Add cumin seeds and let it cook for 10 seconds.
After 10 seconds, add ginger, onion and cook till the onion becomes soft.
Now add tomato, turmeric powder, green chilli, coriander powder, garam masala powder and red chili powder.
Mix all and let it cook for 3 minutes to 4 minutes.
Now add eggplant, butter and salt.
Mix, slow down the heat and let it cook for 10 minutes.
Turn off the gas and garnish with green coriander.
Serve the Brinjal Bharta with Panchamel Dal, Spinach Raita and Phulka for dinner.",https://www.archanaskitchen.com/baingan-bharta-recipe-in-hindi,"tomato,turmeric powder,salt,ginger,red chilli powder,eggsplant,coriander,onion,oil,coriander powder,green chillies,butter,garam masala powder",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Dry/Baingan_Bharta_Sabzi_Recipe_Smoked_Roasted_Eggplant_with_Green_Chillies_and_Ginger-1.jpg,13
Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,"1 teaspoon Tea leaves,2 cups Water,1/4 cup Milk,10 Saffron strands - or more",10,North Indian Recipes,"To begin making the Kesar Chai, add water into a saucepan, along with the saffron strands and allow it to come to a brisk boil.Once it begins to boil; add the tea leaves.
Allow the tea leaves to simmer in the water for about a minute and turn off the heat.Once you add the tea leaves, allow it to brew just a little to ensure the tea stays light and does not turn bitter.Stir in the milk into the chai and allow it to rest for a few seconds.
Strain the Kesar chai into the cups and serve.
Add a few more saffron strands to the top while serving, this will give a great look and also add to the taste and flavor of the chai.Serve the Kesar chai Recipe along with Samosa or Vegetable Bajji or Pakora for an evening snack.",https://www.archanaskitchen.com/kesar-chai-recipe-a-delicious-saffron-flavored-indian-tea,"milk,water,saffron strands,tea leaves",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Kesai_Chai_Recipe_Indian_Style_Saffron_Tea-1.jpg,4
Pacha Manga Pachadi Recipe - Tamil Nadu Raw Mango Pachadi Recipe," oil - as per use,1 raw mango - chop big, 1 tablespoon jaggery, 1 cup tamarind water, 1 teaspoon turmeric powder, asafoetida - a pinch, 1 teaspoon mustard, 1 tablespoon sambar powder, 1/2 teaspoon salt, 2 dry red chillies, 1 Sprig Curry leaves",35,Tamil Nadu,"To make Pacha Manga Pachadi Recipe, first of all, put raw mango in a saucepan with tamarind water, jaggery and turmeric powder.
Turn on the gas and allow it to boil on medium heat.
After the mango becomes soft, add sambar powder, salt and mix it.
Let it cook until it thickens.
After it thickens, turn off the gas.
Now heat oil in a tempering pan.
Add the mustard seeds, curry leaves, asafoetida, dry red chillies and let it cook for 10 seconds.
After this, add this tempering to the pachdi and mix.
Serve Pacha Manga Pachadi Recipe with Keerai Sambar, Rice, Chow Chow Thoran and Masala Tea.",https://www.archanaskitchen.com/pacha-manga-pachadi-recipe-tamil-nadu-raw-mango-pachadi-in-hindi,"turmeric powder,salt,tamarind water,asafoetida,jaggery,mustard,curry leaves,dry red chillies,oil,mango,sambar powder",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Tamil_Nadu_Style_Manga_Pachadi_Recipe_Mango_in_Spicy_and_tangy_Curry_Recipe_.jpg,11
Short Knot Husband Recipe - Raw Jackfruit & Black Chickpea Stir Fry,"1 cup Kala Chana (Brown Chickpeas) - soaked overnight,4 Dry Red Chillies,4 cloves Garlic,1 inch Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),10 Jackfruit Seeds (Kathal),1 teaspoon Mustard seeds,1 inch Ginger,1/2 cup Fresh coconut,1 sprig Curry leaves,1/2 cup Tamarind Water,1 teaspoon Coriander (Dhania) Seeds,2 Cloves (Laung),1 teaspoon Turmeric powder (Haldi),1 Tomato - chopped,1/2 teaspoon Cumin seeds (Jeera)",55,Coorg,"To begin making the Kodava Mudi Chekke Barthad Recipe, soak the chickpeas overnight and pressure cook them in 2 cups of water, salt to taste and cook for 6 to 8 whistles for about 20 to 25 minutes.Once done allow the pressure to release naturally.
Drain the water out from the chickpeas.
Into the same cooker add the jackfruit seeds and 1 cup of water and pressure cook for at least 3 whistles.Release the pressure, drain any excess water and leave the seeds to dry, once it has cool down, peel off the skin and chop them into small pieces.Grind, dry red chillies, cumin seeds, coriander seeds, cloves, cinnamon, coconut, ginger and garlic to a coarse paste, you can add little water if needed.
Keep it aside.Heat a kadai with oil, add mustard seeds, cumin seeds and splutter for few seconds.
Add curry leaves and allow it to crackle for few seconds.Add in chopped tomatoes and saute till the tomatoes become slightly mushy.
Add in the ground coconut masala.
Sprinkle turmeric powder and salt and give it a mix.Cook for 5 minutes and add in the boiled chickpeas and chopped jackfruit.
Pour in the tamarind water and sprinkle salt for seasonings and mix well.Cook the Mudi Chekke Barthad for another 2 minutes until all the masala has been absorbed.
Check the salt and spices and adjust to taste accordingly.
Once done turn off the heat and transfer the Mudi Chekke Barthad to a serving bowl.Serve the Kodava Mudi Chekke Barthad Recipe along with Palak Tovve or Palak Dal  and Jolada Roti and Raita to have it for your every Lunch Meals.",https://www.archanaskitchen.com/kodava-style-mudi-chekke-barthad-recipe-raw-jackfruit-black-chickpea-stir-fry,"tomato,jackfruit seeds (kathal),ginger,tamarind water,mustard seeds,coconut,cloves garlic,curry leaves,dry red chillies,coriander (dhania) seeds,cumin seeds (jeera),cinnamon stick (dalchini),turmeric powder,cloves (laung),kala chana (brown chickpeas)",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/July-25/Mudi_Chekke_Barthad_Recipe_Raw_Jackfruit_Seeds_and_Black_Chickpea_Sabzi-2_1600.jpg,15
Whole Wheat Crepe Recipe With Herbed Vegetables,"1/4 cup Cheese spread - flavoured,Salt - to taste,2 sprig Parsley leaves - roughly chopped,1 teaspoon Italian seasoning,1 cup Whole Wheat Flour,1 Red Bell pepper (Capsicum) - diced,1 pinch Salt,1 Broccoli - cut into florets,1 Onion - thinly sliced",55,Coorg,"To begin making the Whole Wheat Crepe Recipe With Herbed Vegetables, first get all the ingredients ready.In a small mixing bowl, blend all the ingredients for the crepe along with just enough water to make the crepe batter light and fluffy.
The batter should coat the back of the spoon, but at the same time it should be runny and thin.Then strain the crepe mixture through a fine mesh sieve.
Pouring the mix into a tall jug makes it easier to portion out the batter when making crepes on a hot pan.Allow the crepe batter to rest at room temperature for about 15 to 20 minutes.
This makes the crepes soft and fluffy.The next step is to toss the vegetables in a wok.Heat a teaspoon of olive oil in a wok; add the broccoli, onion, bell pepper, sprinkle some salt and toss the vegetables on high heat for just 2 to 3 minutes.
Its nice when the vegetables are not over cooked, but are just stir fried to get a crunch in the crepe.Once done, turn off the heat, check the salt and adjust to suit your taste.
Stir in the parsley and keep aside.To begin making the crepes, warm a crepe pan with a rim on a medium heat.
Butter or oil it evenly.
When the pan gets hot, pour just enough batter to cover the base, and start tilting and swirling the pan to spread the batter and make a crepe.
 These crepes gets cooked really quick and you need to cook it just until the bottom begins to get a little golden, then gently lift the edges and flip the crepe to cook on the other side for a few seconds.Transfer the prepared whole wheat crepes to a platter and cover with a dome lid to keep warm and soft.
Proceed the same way with the remaining batter and stack the crepes one on top of the other.Once the crepes are made, spread the cheese spread on the inside of the crepes, place the stir fried vegetables inside and fold into half and serve.Serve Whole Wheat Crepe Recipe With Herbed Vegetables along with Cold Coffee Smoothie and Spinach and Feta Muffins for breakfast.",https://www.archanaskitchen.com/whole-wheat-crepe-recipe-with-herbed-vegetables,"salt,wheat flour,red bell pepper (capsicum),cheese flavoured,italian,parsley leaves,onion,broccoli",https://www.archanaskitchen.com/images/archanaskitchen/World_Main_Course/Whole_Wheat_Crepe_Recipe_Stuffed_With_Herbed_Vegetables-1.jpg,8
Makki and Methi Roti Recipe,"1 tablespoon Ajwain (Carom seeds),Salt - to taste,2 cups Makki Ka Atta (Yellow Corn Meal Flour),1 1/2 cups Methi Leaves (Fenugreek Leaves) - chopped,2 Green Chillies - chopped,1 tablespoon Kashmiri Red Chilli Powder",30,Punjabi,"To begin making Makki and Methi Roti Recipe, heat some water in a pan till lukewarm.In a steel mixing bowl, add Maize flour, chopped fenugreek leaves, green chillies, carom seeds and salt.
Mix everything well.
Now add lukewarm water to the maize flour little by little and knead into a soft dough.
Add some oil on top of the entire ball of dough and keep aside.
Place a tawa on low heat and let it heat up.
Next divide the dough into small balls.
Roll out each ball between two sheets of plastic (cling film) into a circle or you can use your hands with the help of wet fingers to make a small round roti.
Place roti on the the tawa and cook it on low flame from both sides until brown spots appear.
Prepare the rest of the the rotis in a similar way and serve hot.
Serve Makki and Methi Roti with Sarson Ka Saag and Burani Raita for a delicious weekday meal.",https://www.archanaskitchen.com/makki-and-methi-roti-recipe,"salt,makki ka atta (yellow corn meal flour),kashmiri red chilli powder,ajwain (carom seeds),methi leaves (fenugreek leaves),green chillies",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/pooja/Makki_and_Methi_Roti.jpg,6
Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,"1 teaspoon Sugar,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 teaspoon Lemon juice,1 teaspoon Mustard seeds,3 Carrots (Gajjar) - grated,1 Green Bell Pepper (Capsicum) - thinly sliced,1/4 teaspoon Asafoetida (hing),3 cups Cabbage (Patta Gobi/ Muttaikose) - shredded,1 teaspoon Sunflower Oil,3 Green Chillies - slit lengthwise,1 sprig Curry leaves",30,Gujarati Recipes﻿,"To begin making the Cabbage and Carrot Sambharo Recipe, heat oil in a heavy bottomed pan on medium heat.
Add the mustard seeds and allow it to crackle.
Once it crackles, add the asafoetida, green chilies, curry leaves and saute for a few seconds.
 At this stage add the turmeric powder and the chopped vegetables, salt and stir to combine all the ingredients well.
Turn the heat to low, cover the pan and allow the vegetables to cook in its own steam for about 3 to 4 minutes, until just about cooked.
 You want the vegetables to remain little firm and crunchy and not too soft.Once done, turn off the heat and the Cabbage and Carrot Sambharo is ready to be served.Serve Cabbage And Carrot Sambharo along with Palak Ragi & Oats Wheat Thepla Recipe or Beetroot & Sesame Thepla Recipe for a simple mean.
",https://www.archanaskitchen.com/cabbage-and-carrot-sambharo-recipe-gujarati-vegetable-stirfry,"salt,mustard seeds,asafoetida (hing),carrot,curry leaves,sugar,lemon,green bell pepper (capsicum),turmeric powder,green chillies,cabbage (patta gobi muttaikose),sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Anjana_Chaturvedi/Cabbage_and_carrot_sambharo.jpg,12
Whole Wheat Pita Bread Recipe,"1-1/2 cups All Purpose Flour (Maida),1-1/4 cups Lukewarm Water,1-1/2 cups Whole Wheat Flour,2 tablespoons Extra Virgin Olive Oil,2 teaspoons Active dry yeast,1-1/2 teaspoons Sugar,1/2 teaspoons Salt",70,Continental,"To begin making the Pita bread we will first have to get your ingredients ready especially the yeast.
If you are using active dry yeast (look like small round balls) - follow the instructions given in the packet.If you are using fast action yeast (looks more like fine semolina) then in a large bowl combine the flours, salt and sugar and gradually add in the yeast and knead the dough until smooth and elastic, adding little flour if it tends to get sticky.
Once all of the ingredients form a ball; add the olive oil and place the ball on a work surface and knead the dough for approximately 10 minutes.
Repeated kneading combines all the ingredients well and will help the bread rise well in the oven.Once you have finished kneading and gained enough arm muscle; place the dough in a large bowl coated with olive oil and cover it with cling wrap/plastic wrap and allow it to rise for about 2 hours.After two hours you will notice that the dough has doubled.
At this point punch the dough down and knead gently.
Divide the dough into 10 portions and roll each portion into a ball.
Place the balls on a baking sheet and cover them with a damp cloth and let them sit for another 30 minutes.While the dough is resting, preheat the oven to 250 C.
The oven should be preheated for at least half an hour before you can bake the pitas in them.
Now it should be time to work your dough into flat bread.
Take one ball, dust it with a little flour and dust the work surface as well.
Using a rolling pin, roll the pita into an oval or a circle.
Make sure the pitas are thin; about 1/8th inch or 1/4 inch thick.
Continue the same with the remaining dough balls.Place the rolled portion of pita bread on dusted baking sheets and place it inside the oven.
Bake the pita dough until they puff - you will see them rising forming bubbles, to slowly puffing and fully puffing up.The whole process takes a maximum or 3-5 minutes and not more than 5 minutes.
If the pita bread does not rise in 5 minutes, then take them out.
The Pita Bread will still be cooked, but just wont have pockets and will still taste just as good.You can serve Whole Wheat Pita Bread Recipe along with soups or make it into sandwiches like Egg Bhurji Stuffed Pita Pockets Recipe, Aloo Tikki Stuffed Pita Sandwich Recipe, Pita Sandwich With Cauliflower Falafel And Roasted Vegetables Recipe and more.",https://www.archanaskitchen.com/whole-wheat-pita-bread-recipe,"salt,wheat flour,water,dry yeast,virgin olive oil,sugar,flour (maida)",https://www.archanaskitchen.com/images/archanaskitchen/World_Breads/Whole_Wheat_Pita_Bread_Recipe-2.jpg,7
Andhra Steel Tomato Knock Recipe (Tomato Chutney),"1 teaspoon Tamarind Paste,1/2 teaspoon Turmeric powder (Haldi),8 Dry Red Chillies - adjustable,2 teaspoons Red Chilli powder - optional,8 cloves Garlic,Salt - to taste,1 kg Tomatoes,1 teaspoon Methi Seeds (Fenugreek Seeds),1 tablespoon Mustard seeds,Sunflower Oil",75,Andhra,"To begin making the Andhra Style Tamati Pachadi recipe, take the chopped tomatoes in a deep bottomed pan.
Add salt, turmeric & tamarind to them.
Keep the pan on medium heat & boil till they loose all the water & turn into a mushy paste alike.
Keep stirring in between.
Meanwhile when the tomatoes are boiling, take another pan, heat 2-3 teaspoons of oil.
Add the mustard seeds, fenugreek seeds.
Once they crackle, add dry red chillies.
Fry them till they become fragrant.
Once done, cool them & grind them into a smooth powder.Add the ground masala that we made in step two to the tomatoes & mix well.
If you think that the chillies aren't spicy enough, then add red chilli powder according to your preference at this step.Once again heat 5 tbsp oil, add the garlic pods & mustard seeds to it.
Once the garlic turns brownish & the seeds crackle, switch off the stove & let them cool.Add the tempered mixture to the chutney.
You can even add some urad dal or chana dal to this tempering.
But make sure to add this tempered oil mix only when it is completely cooled off.
This is important as it makes sure the chutney stays fresh for a long time.Serve Andhra Style Tamati Pachadi along with Ghee Masala Dosa and Homemade Soft Idlis for your breakfast or as your tea time snack.",https://www.archanaskitchen.com/andhra-style-tamati-pachadi-recipe-tomato-chutney,"tomato,salt,mustard seeds,red chilli powder,cloves garlic,dry red chillies,methi seeds (fenugreek seeds),tamarind paste,turmeric powder,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/anusha.pariti-gmail.com/Andhra_style_tamati_pachadi_Tomato_Chutney.jpg,10
Herbal Brown Rice Recipe - Herbal Brown Rice Recipe,"1-1 / 2 cup brown rice, 3 tsp rosemary, water - According to use, 4 tsp red chilli flakes, 3 tsp oregano, salt - as per taste, oil, 2 onions - finely chopped, 4 long garlic - finely chopped",30,Continental,"To make Herb Brown Rice recipe, first soak the brown rice in 2-1 / 2 cups of water for 1/2 hour.
Heat the oil in a pressure cooker.
Add the garlic and cook for 30 seconds.
Now add onions and cook till they turn golden brown.
After the onion is cooked, add brown rice, water, red chilli flax, oregano, thyme, salt, mix it well.
Turn off the cooker and cook till 3 cities come.
Simmer the gas and cook for 5 minutes and turn off the gas.
Let the pressure drain automatically.
Open the cooker, mix and serve the rice.
Serve Herb Brown Rice Recipe with Chicken Curry with Sweet Potato and Salad of your choice.",https://www.archanaskitchen.com/herbed-brown-rice-recipe-in-hindi,"salt,brown rice,rosemary,red chilli flakes,water,onion,garlic,oil,oregano",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/July-25/Herbed_Brown_Rice_Recipe-3_1600.jpg,9
Rajasthani very roti recipe,"Water - as required,Ghee - as required,1 cup Whole Wheat Flour,Salt - to taste",45,Rajasthani,"To begin with, Rajasthani Khooba Roti first, in a large mixing bowl, add flour, salt, and water, Mix together with your hands to form crumbs.Add water to combine it well and make a smooth and yet stiff dough.Leave the dough aside for 15 minutes so it rests.Pinch a large lemon sized ball from the dough and roll it to make a ball.
Dust the counter well and roll out the dough ball to make a thick round roti.
Spread a little ghee on one side of the roti and place that side on the tawa.
After 20 seconds, flip the roti and start pinching on the top of the roti.Keep pinching till the full roti is covered.
Flip the roti and again roast from the patterned side.Once both sides are lightly browned hold the roti with a tong, remove it from tawa and place it directly on flames.Flip and roast from both the sides till its evenly cooked from both the sides.Once done, switch off the stove and pour ghee on the roti and serve.Your Rajasthani Khooba Roti is ready to be served with Makai Wali Bhindi or Pyaz ki sabzi..
",https://www.archanaskitchen.com/rajasthani-khooba-roti-recipe,"salt,wheat flour,water,ghee",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Thakur/Rajasthani_Khooba_Roti.jpg,4
Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),"2 cups Ridge Gourd Skin (Turai/ Peerkangai),3 Dry Red Chillies,5 Methi Seeds (Fenugreek Seeds),Salt - to taste,10 Curry leaves,1/4 teaspoon Mustard seeds,30 grams Tamarind,2 Dry Red Chillies,1 teaspoon Sunflower Oil,3-4 Curry leaves,2 teaspoons White Urad Dal (Split)",25,South Indian Recipes,"To begin making the Peerkangai Thogayal Recipe, heat a teaspoon oil in a heavy bottomed pan; add the cut peels of the Ridge Gourd, along with a little salt and saute until soft and tender.
Turn off heat and allow it to cool.
The peels will not get completely soft, so its ok as long as they have cooked through.In another small pan; roast the fenugreek seeds, dry red chillies and urad dal until it releases a roasted aroma and slightly browned.Now grind the roasted ingredients, the cooked ridge gourd peels, the tamarind and curry leaves together until it forms a smooth paste.
Check the salt in the Peerkangai Thogayal Recipe and adjust to suit your taste.Heat a little oil in a pan; add mustard seeds, dry red chillies and curry leaves.
Allow it to crackle and the red chillies to roast.
Add it to the Peerkangai Thogayal.Serve the Peerkangai Thogayal along with a hot bowl of Steamed Rice and Ghee.",https://www.archanaskitchen.com/peerkangai-thogayal-recipe-ridge-gourd-peel-chutney,"salt,ridge gourd skin (turai peerkangai),mustard seeds,curry leaves,white urad dal (split),dry red chillies,methi seeds (fenugreek seeds),tamarind,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Chutneys/Ridge_Gourd_Peel_Chutney_Thogayal_Peerkangai_Recipe-1.jpg,9
Dalia Pakora Recipe - Dalia Pakora Recipe,"1 Green Chilli - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Enos fruit salt,Salt - to taste,1/2 teaspoon Sunflower Oil,Sunflower Oil - as required to fry the pakoras,1 cup Broken Wheat (Dalia/ Godumai Rava),1/4 cup Coriander (Dhania) Leaves - finely chopped,1 Onion - finely chopped,1 tablespoon Sunflower Oil,1/2 teaspoon Ajwain (Carom seeds),Water - as required to make a thick pakora batter,1/3 cup Gram flour (besan),1/2 teaspoon Cumin seeds (Jeera)",25,Indian,"To make Oatmeal Pakora Recipe, we will first cook Dalia.
Wash the panel and keep it aside.
In a pressure cooker, add 2 cups of water, a little salt, oil, Dalia and mix.
Close the pressure cooker and cook until 4 to 5 come to the city.
Turn off the gas and let the pressure drain automatically.
Open the cooker and if there is still water left then keep stirring on high heat and cook until all the water is gone.
Take out the cooked pak in a large bowl and keep it aside to cool.
After cooling, add gram flour, onion, coriander, green chillies, salt, turmeric powder, cumin, celery, oil, water and make a thick batter.
Add ino fruit salt to it and mix.
Now heat a paniyaram pan.
Add oil to each cavity and after the oil is heated add a little oatmeal batter.
Cook until golden brown and crisp from all sides.
Serve.
You can also fry these pakodas in a pan.
Serve the dalia pakora recipe with coriander mint chutney and tamarind chutney.
You can also serve a hot cup of masala tea with it.",https://www.archanaskitchen.com/dalia-pakora-recipe-broken-wheat-pakora-in-hindi,"salt,wheat (dalia godumai rava),water make pakora batter,enos fruit salt,green chilli,coriander (dhania) leaves,ajwain (carom seeds),sunflower oil the pakoras,gram flour (besan),onion,cumin seeds (jeera),turmeric powder,sunflower oil",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Dalia_Pakora_Broken_Wheat_Pakora_Recipe-4_1600.jpg,13
Paneer Tikka Saddle Roll Recipe,"Ghee - for cooking,1/2 teaspoon Turmeric powder (Haldi),1/4 cup Hung Curd (Greek Yogurt),1/4 cup Mint Leaves (Pudina) - finely chopped,1 tablespoon Gram flour (besan),1/2 Lemon - juice extracted,Salt - to taste,1 teaspoon Garam masala powder,1 Coal - for giving a smoked flavour,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),4 cloves Garlic - finely chopped,1/4 cup Mint Leaves (Pudina) - chopped,200 grams Paneer (Homemade Cottage Cheese) - thinly sliced,1 Green Bell Pepper (Capsicum) - thinly sliced,2 cups Whole Wheat Flour,1 tablespoon Ghee - for cooking,2 Onion - thinly sliced,1 inch Ginger - finely chopped,1 teaspoon Chaat Masala Powder",60,Bengali Recipes,"To begin making the Paneer Tikka Kathi Roll Recipe, get all the ingredients prepped and ready.
If you are making paneer at home you can use our homemade paneer recipe.To make the paneer tikka, add all the ingredients for Paneer Tikka in a bowl except the paneer and stir them well until combined.Add the cut paneer pieces into it and allow it to rest for 5 minutes.Heat a teaspoon of oil or ghee in a wok or a skillet, add the paneer mixture and sauté over high heat for four to five minutes, stirring occasionally and cook the paneer until all the marination thickens and forms a coat over the paneer.Once done, check the salt and spice and adjust to suit your taste.
Keep this aside.Next step is the give the paneer tikka a smoked flavour.
Place a large piece of coal on the gas flame and allow it to turn red hot.Place a katori in the center of the paneer tikka pan, place the red hot coal in the katori/ cup and spoon a little bit of ghee over the coal.
It will begin to emit smoke.
Cover the pan and allow the paneer tikka to get the smoky flavours.After about 30 seconds, remove the coal cup and the smoked paneer tikka is ready.The next step is to make the roti for the rolls.
In a large mixing bowl add the flour and salt, give it mix with your fingers.
Add a little water at a time and make a smooth dough.Once you have the dough ready, add a teaspoon of oil over the dough and knead for a couple of minutes, this will give the dough a flaky texture.To make the wrap for the kathi rolls, divide the dough into 5 large portions.
Roll the dough into a large circle by dusting it in flour.
Preheat a skillet on medium heat, place the rolled dough on the skillet and cook it on both sides by smearing ghee over it until it is cooked through and browned and slightly crisp.The addition of ghee helps in creating a crisp texture to the rolls.In a small mixing bowl, combine the raw onions, capsicum, lemon, mint leaves and salt.
Toss them together.Place the cooked rotis on a flat surface and place a portion of the filling towards the center, sprinkle some onion capsicum mixture and if you like a little more chaat masala and roll it up tightly.The Paneer Tikka Kathi rolls are now ready to be served.
Proceed the same way with the remaining dough portions and serve.Serve the Paneer Tikka Kathi Rolls as a snack for tea on weekends, as an appetizer for parties along Mumbai Style Tawa Pulao Recipe With Moong Sprouts and Nawabi Kofta Curry Recipe or make it less spicy and pack it into your kid's lunch box.",https://www.archanaskitchen.com/paneer-tikka-kathi-roll-recipe,"salt,wheat flour,hung curd (greek yogurt),ginger,ghee,paneer,chaat masala powder,cloves garlic,gram flour (besan),onion,lemon,coal giving smoked flavour,green bell pepper (capsicum),mint leaves (pudina),turmeric powder,kasuri methi (dried fenugreek leaves),garam masala powder",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Paneer_Tikka_Kathi_Roll_Recipe_video_2_1600.jpg,17
